reference,description,color_normalized,product_key,opening_qty,movement_rows
020202,RIB F240,ROJO,020202|ROJO,77.8,1
020202,RIB F240,ROSADO VIVO,020202|ROSADO VIVO,6.1,1
020202,RIB F240,TOFFE,020202|TOFFE,40.199999999999996,1
020202,RIB F240,TURQUI,020202|TURQUI,81.8,1
020202,RIB F240,VERDE BOTELLA,020202|VERDE BOTELLA,68.4,1
020202,RIB F240,VERDE MILITAR,020202|VERDE MILITAR,7.0,1
030101,PIEL DE DURAZNO COLOR,CRUDO,030101|CRUDO,18.4,1
040101,PIMA PLUS,AMARILLO PASTEL,040101|AMARILLO PASTEL,516.2,20
040101,PIMA PLUS,AZUL TURQUEZA,040101|AZUL TURQUEZA,182.5,8
040101,PIMA PLUS,CURUBA,040101|CURUBA,191.8,8
040101,PIMA PLUS,LILA,040101|LILA,545.3,21
040101,PIMA PLUS,MOSTAZA,040101|MOSTAZA,448.2,18
040101,PIMA PLUS,NEGRO,040101|NEGRO,5.3,1
040101,PIMA PLUS,RATA,040101|RATA,24.799999999999997,2
040101,PIMA PLUS,VERDE LIMON,040101|VERDE LIMON,302.1,12
050101,BURDA HEAVY 405 GRMS,ARENA,050101|ARENA,363.8,20
050101,BURDA HEAVY 405 GRMS,AZUL M,050101|AZUL M,947.1999999999999,53
050101,BURDA HEAVY 405 GRMS,BLANCO,050101|BLANCO,162.2,10
050101,BURDA HEAVY 405 GRMS,CAMEL,050101|CAMEL,586.4,33
050101,BURDA HEAVY 405 GRMS,CEMENTO,050101|CEMENTO,234.6,13
050101,BURDA HEAVY 405 GRMS,CHOCOLATE,050101|CHOCOLATE,215.4,12
050101,BURDA HEAVY 405 GRMS,IVORY,050101|IVORY,1000.8,57
