reference,color_normalized,product_key,descriptions,first_movement_date,last_movement_date,total_qty_in,total_qty_out,current_net_qty,movement_rows,sources
010201,BURGUNDY,010201|BURGUNDY,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-04-30,22.8,11.9,10.9,4,opening | sales
010201,CEMENTO,010201|CEMENTO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-05-31,87.14999999999999,9.7,77.44999999999999,5,opening | sales
010201,CHOCOLATE,010201|CHOCOLATE,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-04-30,116.68,6.4,110.28,5,opening | sales
010201,CIELO,010201|CIELO,RIB PERUANO 200,2025-12-31,2025-12-31,2.5,0.0,2.5,1,opening
010201,COLONIAL BLUE,010201|COLONIAL BLUE,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-05-31,102.7,42.5,60.2,5,opening | sales
010201,INDIGO,010201|INDIGO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-05-31,4.1000000000000005,6.1,-1.9999999999999991,4,opening | sales
010201,IVORY,010201|IVORY,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,490.14000000000004,227.8,262.34000000000003,8,opening | receipts | sales
010201,KAKY,010201|KAKY,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,141.55,42.7,98.85,8,opening | receipts | sales
010201,NEGRO,010201|NEGRO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,1817.2400000000002,654.02,1163.2200000000003,10,opening | receipts | sales
010201,PAPRIKA,010201|PAPRIKA,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-03-31,11.3,4.5,6.800000000000001,2,opening | sales
010201,RATA,010201|RATA,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-05-31,147.44,17.0,130.44,6,opening | sales
010201,ROJO,010201|ROJO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,156.78,80.10000000000001,76.67999999999999,8,opening | receipts | sales
010201,ROSADO VIVO,010201|ROSADO VIVO,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-06-30,20.5,9.5,11.0,5,opening | sales
010201,TOFFE,010201|TOFFE,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-03-31,23.1,3.2,19.900000000000002,2,opening | sales
010201,TURQUI,010201|TURQUI,REEB PERUANA 200 GR | RIB PERUANO 200,2025-12-31,2026-05-31,74.5,55.0,19.5,6,opening | sales
010201,VERDE BOTELLA,010201|VERDE BOTELLA,REEB PERUANA 200 GR,2026-01-31,2026-04-30,26.8,47.36,-20.56,4,receipts | sales
010201,VERDE MILITAR,010201|VERDE MILITAR,RIB PERUANO 200,2025-12-31,2025-12-31,20.8,0.0,20.8,1,opening
010202,ARENA,010202|ARENA,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,385.42999999999995,133.6,251.82999999999998,7,opening | sales
010202,AZUL M,010202|AZUL M,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,126.8,59.7,67.1,7,opening | sales
010202,BLANCO,010202|BLANCO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,384.1,226.0,158.10000000000002,7,opening | sales
010202,BURGUNDY,010202|BURGUNDY,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,32.120000000000005,10.7,21.42,7,opening | sales
010202,CAMEL,010202|CAMEL,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-05-31,244.91,55.4,189.51,5,opening | sales
010202,CEMENTO,010202|CEMENTO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-05-31,277.21000000000004,47.3,229.91000000000003,6,opening | sales
010202,CHOCOLATE,010202|CHOCOLATE,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,172.22000000000003,115.83,56.39000000000003,7,opening | sales
010202,COLONIAL BLUE,010202|COLONIAL BLUE,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,61.1,13.3,47.800000000000004,4,opening | sales
010202,INDIGO,010202|INDIGO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,28.520000000000003,28.1,0.4200000000000035,6,opening | sales
010202,IVORY,010202|IVORY,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,763.9099999999999,394.93,368.9799999999999,8,opening | receipts | sales
010202,KAKY,010202|KAKY,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,106.93,43.7,63.230000000000004,7,opening | sales
010202,LILA,010202|LILA,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,2.6,2.0,0.6000000000000001,3,opening | sales
010202,NEGRO,010202|NEGRO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,1557.2800000000009,794.86,762.4200000000009,7,opening | sales
010202,PAPRIKA,010202|PAPRIKA,RIB PERUANO 250,2025-12-31,2025-12-31,29.5,0.0,29.5,1,opening
010202,RATA,010202|RATA,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,97.8,39.2,58.599999999999994,7,opening | sales
010202,ROJO,010202|ROJO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,202.41,128.1,74.30999999999999,7,opening | sales
010202,ROSADO VIVO,010202|ROSADO VIVO,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-05-31,17.8,15.7,2.1000000000000005,5,opening | sales
010202,TOFFE,010202|TOFFE,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-04-30,27.54,6.3,21.24,5,opening | sales
010202,VERDE BOTELLA,010202|VERDE BOTELLA,REEB PERUANA 250 GR | RIB PERUANO 250,2025-12-31,2026-06-30,98.65,67.4,31.25000000000001,6,opening | sales
010202,VERDE MILITAR,010202|VERDE MILITAR,RIB PERUANO 250,2025-12-31,2025-12-31,4.0,0.0,4.0,1,opening
010204,ARENA,010204|ARENA,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-01-31,47.75,3.0,44.75,2,opening | sales
010204,BLANCO,010204|BLANCO,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-05-31,120.88,9.0,111.88,4,opening | sales
010204,CEMENTO,010204|CEMENTO,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-05-31,19.3,7.0,12.3,3,opening | sales
010204,IVORY,010204|IVORY,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-04-30,88.94,5.0,83.94,3,opening | sales
010204,KAKY,010204|KAKY,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-01-31,2.9,2.9,0.0,2,opening | sales
010204,NEGRO,010204|NEGRO,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-04-30,332.80999999999995,36.0,296.80999999999995,4,opening | sales
010204,PAPRIKA,010204|PAPRIKA,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-01-31,15.5,0.6,14.9,2,opening | sales
010204,RATA,010204|RATA,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-04-30,11.2,2.6,8.6,2,opening | sales
010204,ROJO,010204|ROJO,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-05-31,105.95,8.0,97.95,4,opening | sales
010204,STONE,010204|STONE,RIB PERUANO 150,2025-12-31,2025-12-31,1.2,0.0,1.2,1,opening
010204,TOFFE,010204|TOFFE,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-04-30,22.8,3.0,19.8,2,opening | sales
010204,TURQUI,010204|TURQUI,REEB PERUANA 150 GR | RIB PERUANO 150,2025-12-31,2026-04-30,25.0,2.0,23.0,2,opening | sales
010204,VERDE MILITAR,010204|VERDE MILITAR,RIB PERUANO 150,2025-12-31,2025-12-31,12.8,0.0,12.8,1,opening
010206,ARENA,010206|ARENA,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-05-31,60.12,52.0,8.12,8,opening | receipts | sales
010206,BLANCO,010206|BLANCO,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-06-30,139.14,61.0,78.14,8,opening | receipts | sales
010206,CEMENTO,010206|CEMENTO,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-04-30,79.41,11.0,68.41,5,opening | receipts | sales
010206,CHOCOLATE,010206|CHOCOLATE,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-05-31,51.58,28.6,22.980000000000004,6,opening | receipts | sales
010206,IVORY,010206|IVORY,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-06-30,262.03,146.5,115.52999999999999,9,opening | receipts | sales
010206,KAKY,010206|KAKY,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-04-30,40.6,36.8,3.8000000000000025,4,opening | sales
010206,NEGRO,010206|NEGRO,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-06-30,657.21,392.3,264.9100000000001,8,opening | receipts | sales
010206,RATA,010206|RATA,REEB PERUANA 310 GR,2026-03-13,2026-06-30,23.21,5.0,18.21,3,receipts | sales
010206,ROJO,010206|ROJO,REEB PERUANA 310 GR | RIB PERUANO 310,2025-12-31,2026-05-31,26.04,24.0,2.039999999999999,6,opening | receipts | sales
010207,AZUL M,010207|AZUL M,RIB PERUANA INTERLOCK 335 GR,2026-06-30,2026-06-30,0.0,1.2,-1.2,1,sales
010207,IVORY,010207|IVORY,RIB PERUANA INTERLOCK 335 GR,2026-03-31,2026-05-31,0.0,28.4,-28.4,3,sales
010207,NEGRO,010207|NEGRO,RIB PERUANA INTERLOCK 335 GR,2026-03-31,2026-06-30,0.0,42.4,-42.4,4,sales
010207,VERDE BOTELLA,010207|VERDE BOTELLA,RIB PERUANA INTERLOCK 335 GR,2026-05-31,2026-05-31,0.0,1.5,-1.5,1,sales
010207,VERDE SECO,010207|VERDE SECO,RIB PERUANA INTERLOCK 335 GR,2026-06-30,2026-06-30,0.0,1.2,-1.2,1,sales
010208,ARENA,010208|ARENA,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-04-30,17.4,1.0,16.4,2,receipts | sales
010208,AZUL M,010208|AZUL M,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-04-30,12.8,1.0,11.8,2,receipts | sales
010208,BLANCO,010208|BLANCO,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-05-31,56.099999999999994,4.6,51.5,4,receipts | sales
010208,CHOCOLATE,010208|CHOCOLATE,RIB PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,27.2,0.0,27.2,1,receipts
